Rank,Neighbor Rank,"Offset (x,y,z)",Hop Count
0,1,"(1, 0, 0)",3
2,3,"(1, 0, 0)",3
4,5,"(1, 0, 0)",3
6,7,"(1, 0, 0)",3
8,9,"(1, 0, 0)",3
10,11,"(1, 0, 0)",3
12,13,"(1, 0, 0)",3
14,15,"(1, 0, 0)",3
0,2,"(0, 1, 0)",3
1,3,"(0, 1, 0)",3
4,6,"(0, 1, 0)",3
5,7,"(0, 1, 0)",3
8,10,"(0, 1, 0)",3
9,11,"(0, 1, 0)",3
12,14,"(0, 1, 0)",3
13,15,"(0, 1, 0)",3
0,4,"(0, 0, 1)",3
1,5,"(0, 0, 1)",3
2,6,"(0, 0, 1)",3
3,7,"(0, 0, 1)",3
4,8,"(0, 0, 1)",3
5,9,"(0, 0, 1)",3
6,10,"(0, 0, 1)",3
7,11,"(0, 0, 1)",3
8,12,"(0, 0, 1)",3
9,13,"(0, 0, 1)",3
10,14,"(0, 0, 1)",3
11,15,"(0, 0, 1)",3
12,0,"(0, 0, 1)",3
13,1,"(0, 0, 1)",3
14,2,"(0, 0, 1)",3
15,3,"(0, 0, 1)",3
0,7,"(1, 1, 1)",5
1,6,"(1, 1, 1)",5
2,5,"(1, 1, 1)",5
3,4,"(1, 1, 1)",5
4,11,"(1, 1, 1)",5
5,10,"(1, 1, 1)",5
6,9,"(1, 1, 1)",5
7,8,"(1, 1, 1)",5
8,15,"(1, 1, 1)",5
9,14,"(1, 1, 1)",5
10,13,"(1, 1, 1)",5
11,12,"(1, 1, 1)",5
12,3,"(1, 1, 1)",5
13,2,"(1, 1, 1)",5
14,1,"(1, 1, 1)",5
15,0,"(1, 1, 1)",5
